Quadrat,Station,latitude,longitude,year taken
A,1,49.262,-123.1554,2021
A,2,49.2568,-123.1556,2021
A,3,49.2527,-123.1557,2021
A,4,49.2487,-123.1578,2021
A,5,49.2475,-123.1477,2021
A,6,49.2475,-123.1416,2021
A,7,49.2483,-123.1343,2021
A,8,49.2519,-123.1343,2021
A,9,49.2557,-123.1351,2021
A,10,49.2617,-123.1337,2021
A,11,49.2618,-123.1434,2021
A,12,49.2559,-123.1406,2021
A,13,49.2536,-123.1436,2021
A,14,49.2528,-123.1483,2021
A,15,49.2563,-123.1483,2021
A,16,49.2619,-123.1481,2021
B,1,49.248008,-123.126878,2016
B,2,49.248015,-123.120008,2016
B,3,49.248022,-123.113138,2016
B,4,49.248029,-123.106267,2016
B,5,49.252506,-123.126889,2016
B,6,49.252513,-123.120019,2016
B,7,49.25252,-123.113148,2016
B,8,49.252526,-123.106277,2016
B,9,49.257003,-123.126901,2016
B,10,49.257011,-123.12003,2016
B,11,49.257018,-123.113158,2016
B,12,49.257024,-123.106287,2016
B,13,49.261501,-123.126912,2016
B,14,49.261508,-123.12004,2016
B,15,49.261515,-123.113168,2016
B,16,49.261522,-123.106296,2016
C,1,49.248035,-123.099397,2016
C,2,49.248041,-123.092527,2016
C,3,49.248046,-123.085657,2016
C,4,49.248051,-123.078787,2016
C,5,49.252533,-123.099406,2016
C,6,49.252538,-123.092536,2016
C,7,49.252544,-123.085665,2016
C,8,49.252548,-123.078794,2016
C,9,49.25703,-123.099415,2016
C,10,49.257036,-123.092544,2016
C,11,49.257041,-123.085673,2016
C,12,49.257046,-123.078801,2016
C,13,49.261528,-123.099424,2016
C,14,49.261533,-123.092552,2016
C,15,49.261539,-123.08568,2016
C,16,49.261544,-123.078808,2016
D,1,49.24794,-123.07289,2022
D,2,49.2481,-123.06595,2022
D,3,49.24893,-123.05807,2022
D,4,49.24667,-123.05131,2022
D,5,49.251504,-123.049387,2022
D,6,49.252909,-123.059175,2022
D,7,49.252534,-123.065449,2022
D,8,49.2527,-123.07153,2022
D,9,49.256526,-123.072301,2022
D,10,49.25816,-123.06405,2022
D,11,49.25743,-123.05829,2022
D,12,49.25564,-123.05222,2022
D,13,49.261235,-123.049502,2022
D,14,49.26041,-123.05867,2022
D,15,49.260743,-123.06424,2022
D,16,49.261463,-123.070418,2022
E,1,49.247804,-123.043471,2022
E,2,49.247854,-123.03717,2022
E,3,49.247973,-123.03104,2022
E,4,49.247977,-123.023901,2022
E,5,49.252378,-123.023873,2022
E,6,49.252403,-123.031003,2022
E,7,49.252443,-123.03732,2022
E,8,49.252376,-123.043286,2022
E,9,49.257077,-123.044215,2022
E,10,49.257242,-123.037976,2022
E,11,49.256578,-123.031136,2022
E,12,49.257376,-123.023897,2022
E,13,49.261378,-123.02376,2022
E,14,49.262143,-123.028832,2022
E,15,49.261541,-123.037978,2022
E,16,49.261396,-123.044444,2022
F,1,49.2479569,-123.0169667,2022
F,2,49.2477969,-123.0119518,2022
F,3,49.2477628,-123.0043844,2022
F,4,49.2480868,-122.9961519,2022
F,5,49.2521835,-123.0178056,2022
F,6,49.252575,-123.010086,2022
F,7,49.2525715,-123.0047341,2022
F,8,49.2515805,-122.9948966,2022
F,9,49.2564313,-123.0157091,2022
F,10,49.257125,-123.0101205,2022
F,11,49.2558861,-123.0021002,2022
F,12,49.259809,-122.9954052,2022
F,13,49.2611069,-123.0161071,2022
F,14,49.2608208,-123.0101309,2022
F,15,49.2616725,-123.0028297,2022
F,16,49.2623252,-122.995475,2022
G,1,49.248077,-122.989475,2016
G,2,49.248076,-122.982605,2016
G,3,49.248075,-122.975735,2016
G,4,49.248074,-122.968864,2016
G,5,49.252575,-122.989474,2016
G,6,49.252574,-122.982603,2016
G,7,49.252573,-122.975732,2016
G,8,49.252571,-122.968862,2016
G,9,49.257072,-122.989473,2016
G,10,49.257072,-122.982602,2016
G,11,49.25707,-122.97573,2016
G,12,49.257069,-122.968859,2016
G,13,49.26157,-122.989472,2016
G,14,49.261569,-122.9826,2016
G,15,49.261568,-122.975728,2016
G,16,49.261566,-122.968856,2016
H,1,49.248071,-122.961994,2016
H,2,49.248069,-122.955124,2016
H,3,49.248066,-122.948254,2016
H,4,49.248063,-122.941384,2016
H,5,49.252569,-122.961991,2016
H,6,49.252567,-122.95512,2016
H,7,49.252564,-122.948249,2016
H,8,49.25256,-122.941379,2016
H,9,49.257067,-122.961987,2016
H,10,49.257064,-122.955116,2016
H,11,49.257061,-122.948245,2016
H,12,49.257058,-122.941373,2016
H,13,49.261564,-122.961984,2016
H,14,49.261562,-122.955112,2016
H,15,49.261559,-122.94824,2016
H,16,49.261556,-122.941368,2016
I,1,49.229984,-123.154302,2016
I,2,49.229993,-123.147435,2016
I,3,49.230002,-123.140567,2016
I,4,49.23001,-123.133699,2016
I,5,49.234482,-123.154316,2016
I,6,49.234491,-123.147448,2016
I,7,49.234499,-123.14058,2016
I,8,49.234507,-123.133712,2016
I,9,49.238979,-123.15433,2016
I,10,49.238988,-123.147461,2016
I,11,49.238997,-123.140593,2016
I,12,49.239005,-123.133724,2016
I,13,49.243477,-123.154344,2016
I,14,49.243486,-123.147475,2016
I,15,49.243495,-123.140605,2016
I,16,49.243503,-123.133736,2016
J,1,49.230018,-123.126832,2016
J,2,49.230025,-123.119964,2016
J,3,49.230032,-123.113096,2016
J,4,49.230038,-123.106229,2016
J,5,49.234515,-123.126843,2016
J,6,49.234523,-123.119975,2016
J,7,49.234529,-123.113107,2016
J,8,49.234536,-123.106238,2016
J,9,49.239013,-123.126855,2016
J,10,49.23902,-123.119986,2016
J,11,49.239027,-123.113117,2016
J,12,49.239034,-123.106248,2016
J,13,49.24351,-123.126866,2016
J,14,49.243518,-123.119997,2016
J,15,49.243525,-123.113127,2016
J,16,49.243531,-123.106258,2016
K,1,49.230045,-123.099361,2016
K,2,49.23005,-123.092494,2016
K,3,49.230056,-123.085626,2016
K,4,49.23006,-123.078758,2016
K,5,49.234542,-123.09937,2016
K,6,49.234548,-123.092502,2016
K,7,49.234553,-123.085634,2016
K,8,49.234558,-123.078765,2016
K,9,49.23904,-123.099379,2016
K,10,49.239045,-123.09251,2016
K,11,49.239051,-123.085641,2016
K,12,49.239056,-123.078773,2016
K,13,49.243537,-123.099388,2016
K,14,49.243543,-123.092519,2016
K,15,49.243548,-123.085649,2016
K,16,49.243553,-123.07878,2016
L,1,49.230065,-123.071891,2016
L,2,49.230069,-123.065023,2016
L,3,49.230073,-123.058155,2016
L,4,49.230076,-123.051288,2016
L,5,49.234562,-123.071897,2016
L,6,49.234567,-123.065029,2016
L,7,49.23457,-123.058161,2016
L,8,49.234573,-123.051292,2016
L,9,49.23906,-123.071904,2016
L,10,49.239064,-123.065035,2016
L,11,49.239068,-123.058166,2016
L,12,49.239071,-123.051297,2016
L,13,49.243558,-123.07191,2016
L,14,49.243562,-123.065041,2016
L,15,49.243565,-123.058171,2016
L,16,49.243569,-123.051302,2016
M,1,49.230079,-123.04442,2016
M,2,49.230081,-123.037552,2016
M,3,49.230083,-123.030685,2016
M,4,49.230085,-123.023817,2016
M,5,49.234576,-123.044424,2016
M,6,49.234579,-123.037556,2016
M,7,49.234581,-123.030687,2016
M,8,49.234582,-123.023819,2016
M,9,49.239074,-123.044428,2016
M,10,49.239076,-123.037559,2016
M,11,49.239078,-123.03069,2016
M,12,49.23908,-123.023821,2016
M,13,49.243572,-123.044432,2016
M,14,49.243574,-123.037563,2016
M,15,49.243576,-123.030693,2016
M,16,49.243578,-123.023824,2016
N,1,49.230086,-123.016949,2016
N,2,49.230087,-123.010082,2016
N,3,49.230087,-123.003214,2016
N,4,49.230087,-122.996346,2016
N,5,49.234584,-123.016951,2016
N,6,49.234584,-123.010083,2016
N,7,49.234585,-123.003214,2016
N,8,49.234585,-122.996346,2016
N,9,49.239081,-123.016952,2016
N,10,49.239082,-123.010084,2016
N,11,49.239082,-123.003215,2016
N,12,49.239082,-122.996346,2016
N,13,49.243579,-123.016954,2016
N,14,49.24358,-123.010084,2016
N,15,49.24358,-123.003215,2016
N,16,49.24358,-122.996345,2016
O,1,49.230087,-122.989479,2016
O,2,49.230086,-122.982611,2016
O,3,49.230085,-122.975743,2016
O,4,49.230083,-122.968876,2016
O,5,49.234584,-122.989478,2016
O,6,49.234584,-122.98261,2016
O,7,49.234582,-122.975741,2016
O,8,49.234581,-122.968873,2016
O,9,49.239082,-122.989477,2016
O,10,49.239081,-122.982608,2016
O,11,49.23908,-122.975739,2016
O,12,49.239078,-122.96887,2016
O,13,49.24358,-122.989476,2016
O,14,49.243579,-122.982606,2016
O,15,49.243578,-122.975737,2016
O,16,49.243576,-122.968867,2016
P,1,49.230081,-122.962008,2016
P,2,49.230079,-122.95514,2016
P,3,49.230076,-122.948273,2016
P,4,49.230072,-122.941405,2016
P,5,49.234579,-122.962005,2016
P,6,49.234576,-122.955136,2016
P,7,49.234573,-122.948268,2016
P,8,49.23457,-122.9414,2016
P,9,49.239076,-122.962001,2016
P,10,49.239074,-122.955132,2016
P,11,49.239071,-122.948263,2016
P,12,49.239068,-122.941395,2016
P,13,49.243574,-122.961998,2016
P,14,49.243571,-122.955128,2016
P,15,49.243569,-122.948259,2016
P,16,49.243565,-122.941389,2016
Q,1,49.211994,-123.154246,2016
Q,2,49.212003,-123.147381,2016
Q,3,49.212011,-123.140516,2016
Q,4,49.212019,-123.133651,2016
Q,5,49.216491,-123.15426,2016
Q,6,49.2165,-123.147395,2016
Q,7,49.216509,-123.140529,2016
Q,8,49.216517,-123.133663,2016
Q,9,49.220989,-123.154274,2016
Q,10,49.220998,-123.147408,2016
Q,11,49.221006,-123.140542,2016
Q,12,49.221015,-123.133675,2016
Q,13,49.225487,-123.154288,2016
Q,14,49.225496,-123.147421,2016
Q,15,49.225504,-123.140554,2016
Q,16,49.225512,-123.133687,2016
R,1,49.212027,-123.126786,2016
R,2,49.212034,-123.119921,2016
R,3,49.212041,-123.113055,2016
R,4,49.212048,-123.10619,2016
R,5,49.216525,-123.126797,2016
R,6,49.216532,-123.119931,2016
R,7,49.216539,-123.113066,2016
R,8,49.216546,-123.1062,2016
R,9,49.221022,-123.126809,2016
R,10,49.22103,-123.119942,2016
R,11,49.221037,-123.113076,2016
R,12,49.221043,-123.10621,2016
R,13,49.22552,-123.12682,2016
R,14,49.225527,-123.119953,2016
R,15,49.225534,-123.113086,2016
R,16,49.225541,-123.106219,2016
S,1,49.225547,-123.099352,2022
S,2,49.225458,-123.092486,2022
S,3,49.225458,-123.08527,2022
S,4,49.225303,-123.078745,2022
S,5,49.221065,-123.078744,2022
S,6,49.221227,-123.085612,2022
S,7,49.221055,-123.092477,2022
S,8,49.221049,-123.099343,2022
S,9,49.216552,-123.099334,2022
S,10,49.216529,-123.092471,2022
S,11,49.216428,-123.085591,2022
S,12,49.216568,-123.078737,2022
S,13,49.21207,-123.07873,2022
S,14,49.212065,-123.085595,2022
S,15,49.212176,-123.092459,2022
S,16,49.212054,-123.099325,2022
T,1,49.212074,-123.071865,2016
T,2,49.212078,-123.064999,2016
T,3,49.212082,-123.058134,2016
T,4,49.212085,-123.051269,2016
T,5,49.216572,-123.071871,2016
T,6,49.216576,-123.065005,2016
T,7,49.21658,-123.058139,2016
T,8,49.216583,-123.051274,2016
T,9,49.22107,-123.071878,2016
T,10,49.221074,-123.065011,2016
T,11,49.221077,-123.058145,2016
T,12,49.221081,-123.051278,2016
T,13,49.225567,-123.071884,2016
T,14,49.225571,-123.065017,2016
T,15,49.225575,-123.05815,2016
T,16,49.225578,-123.051283,2016
U,1,49.212088,-123.044404,2016
U,2,49.212091,-123.037539,2016
U,3,49.212093,-123.030674,2016
U,4,49.212094,-123.023808,2016
U,5,49.216586,-123.044408,2016
U,6,49.216588,-123.037542,2016
U,7,49.21659,-123.030676,2016
U,8,49.216592,-123.023811,2016
U,9,49.221083,-123.044412,2016
U,10,49.221086,-123.037546,2016
U,11,49.221088,-123.030679,2016
U,12,49.22109,-123.023813,2016
U,13,49.225581,-123.044416,2016
U,14,49.225584,-123.037549,2016
U,15,49.225586,-123.030682,2016
U,16,49.225587,-123.023815,2016
V,1,49.212095,-123.016943,2016
V,2,49.212096,-123.010078,2016
V,3,49.212097,-123.003213,2016
V,4,49.212097,-122.996348,2016
V,5,49.216593,-123.016945,2016
V,6,49.216594,-123.010079,2016
V,7,49.216594,-123.003213,2016
V,8,49.216594,-122.996347,2016
V,9,49.221091,-123.016946,2016
V,10,49.221092,-123.01008,2016
V,11,49.221092,-123.003213,2016
V,12,49.221092,-122.996347,2016
V,13,49.225588,-123.016948,2016
V,14,49.225589,-123.010081,2016
V,15,49.22559,-123.003214,2016
V,16,49.22559,-122.996347,2016
W,1,49.212096,-122.989483,2016
W,2,49.212095,-122.982617,2016
W,3,49.212094,-122.975752,2016
W,4,49.212093,-122.968887,2016
W,5,49.216594,-122.989482,2016
W,6,49.216593,-122.982616,2016
W,7,49.216592,-122.97575,2016
W,8,49.21659,-122.968884,2016
W,9,49.221091,-122.989481,2016
W,10,49.221091,-122.982614,2016
W,11,49.221089,-122.975748,2016
W,12,49.221088,-122.968881,2016
W,13,49.225589,-122.98948,2016
W,14,49.225588,-122.982613,2016
W,15,49.225587,-122.975746,2016
W,16,49.225585,-122.968879,2016
X,1,49.21209,-122.962022,2016
X,2,49.212088,-122.955157,2016
X,3,49.212085,-122.948292,2016
X,4,49.212082,-122.941426,2016
X,5,49.216588,-122.962018,2016
X,6,49.216586,-122.955153,2016
X,7,49.216583,-122.948287,2016
X,8,49.216579,-122.941421,2016
X,9,49.221086,-122.962015,2016
X,10,49.221083,-122.955149,2016
X,11,49.22108,-122.948282,2016
X,12,49.221077,-122.941416,2016
X,13,49.225583,-122.962012,2016
X,14,49.225581,-122.955145,2016
X,15,49.225578,-122.948278,2016
X,16,49.225575,-122.94141,2016